,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
326,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,352900 Marília,0,0,0,1,0,0,0,0,0,0,0,0,0
327,15,São José do Rio Preto,XXX,JALES,35153,JALES,352910 Marinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
328,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,352920 Martinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
329,3,Araraquara,XII,ARARAQUARA,35033,NORTE DO DRS III,352930 Matão,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1,São Paulo,VII,SANTO ANDRÉ,35015,GRANDE ABC,352940 Mauá,0,0,0,0,0,0,0,0,0,0,0,0,0
331,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,352950 Mendonça,0,0,0,0,0,0,0,0,0,0,0,0,0
332,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,352960 Meridiano,0,0,0,0,0,0,0,0,0,0,0,0,0
333,15,São José do Rio Preto,XXX,JALES,35153,JALES,352965 Mesópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
334,8,Franca,XVIII,FRANCA,35083,ALTA MOGIANA,352970 Miguelópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
335,6,Bauru,XV,BAURU,35064,JAU,352980 Mineiros do Tietê,0,0,0,0,0,0,0,0,0,0,0,0,0
336,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,352990 Miracatu,0,0,0,0,0,0,0,0,0,0,0,0,0
337,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,353000 Mira Estrela,0,0,0,0,0,0,0,0,0,0,0,0,0
338,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,353010 Mirandópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
339,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35115,PONTAL DO PARANAPANEMA,353020 Mirante do Paranapanema,0,0,0,0,0,0,0,0,0,0,0,0,0
340,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353030 Mirassol,0,0,0,0,0,0,0,0,0,0,0,0,0
341,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353040 Mirassolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
342,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35143,RIO PARDO,353050 Mococa,0,0,0,0,0,0,0,0,0,0,0,0,0
343,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,353060 Moji das Cruzes,0,0,0,0,0,0,0,0,0,0,0,0,0
344,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35141,BAIXA MOGIANA,353070 Moji-Guaçu,0,0,0,0,0,0,0,0,0,0,0,0,0
345,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35141,BAIXA MOGIANA,353080 Moji-Mirim,0,0,0,0,0,0,0,0,0,0,0,0,0
346,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,353090 Mombuca,0,0,0,0,0,0,0,0,0,0,0,0,0
