,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
235,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,352050
236,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,352060
237,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,352070
238,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,352080
239,9,Marília,XIII,ASSIS,35094,OURINHOS,352090
240,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,352100
241,10,Piracicaba,XX,PIRACICABA,35104,RIO CLARO,352110
242,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,352115
243,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,352120
244,8,Franca,XVIII,FRANCA,35082,ALTA ANHANGUERA,352130
245,10,Piracicaba,XX,PIRACICABA,35102,LIMEIRA,352140
246,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,352150
247,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,352160
248,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,352170
249,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,352180
