,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
631,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,355635
632,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,355640
633,1,São Paulo,X,OSASCO,35013,MANANCIAIS,355645
634,7,Campinas,XVII,CAMPINAS,35073,JUNDIAÍ,355650
635,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,355660
636,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,355670
637,5,Barretos,XIV,BARRETOS,35052,SUL-BARRETOS,355680
638,5,Barretos,XIV,BARRETOS,35052,SUL-BARRETOS,355690
639,15,São José do Rio Preto,XXX,JALES,35153,JALES,355695
640,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,355700
641,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,355710
642,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,355715
643,9,Marília,XIII,ASSIS,35094,OURINHOS,355720
644,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35141,BAIXA MOGIANA,355730
