,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
89,Brodósqui,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Brotas,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Buri,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Buritama,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Buritizal,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Cabrália Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Cabreúva,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Caçapava,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Cachoeira Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Caconde,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Cafelândia,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Caiabu,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Caieiras,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Caiuá,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Cajamar,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Cajati,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Cajobi,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Cajuru,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Campina do Monte Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Campinas,0,0,0,0,0,0,1,0,0,0,0,0,0
109,Campo Limpo Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Campos do Jordão,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Campos Novos Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Cananéia,0,0,0,0,0,0,1,0,0,0,0,0,0
113,Canas,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Cândido Mota,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Cândido Rodrigues,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Canitar,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Capão Bonito,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Capela do Alto,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Capivari,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Caraguatatuba,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Carapicuíba,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Cardoso,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Casa Branca,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Cássia dos Coqueiros,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Castilho,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Catanduva,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Catiguá,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Cedral,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Cerqueira César,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Cerquilho,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Cesário Lange,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Charqueada,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Clementina,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Colina,0,0,0,0,0,0,1,0,1,0,0,0,0
135,Colômbia,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Conchal,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Conchas,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Cordeirópolis,0,0,0,0,0,0,0,0,0,1,0,0,0
139,Coroados,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Coronel Macedo,0,0,0,0,0,0,0,0,0,1,0,0,0
141,Corumbataí,0,0,0,0,1,0,0,0,0,0,0,0,0
142,Cosmópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Cosmorama,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Cotia,0,0,0,0,0,0,0,0,1,0,0,0,0
145,Cravinhos,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Cristais Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Cruzália,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Cruzeiro,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Cubatão,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Cunha,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Descalvado,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Diadema,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Dirce Reis,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Divinolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Dobrada,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Dois Córregos,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Dolcinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Dourado,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Dracena,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Duartina,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Dumont,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Echaporã,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Eldorado,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Elias Fausto,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Elisiário,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Embaúba,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Embu,0,1,0,0,0,0,0,0,0,0,0,0,0
168,Embu-Guaçu,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Emilianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Engenheiro Coelho,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Espírito Santo do Pinhal,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Espírito Santo do Turvo,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Estrela d'Oeste,0,2,0,0,0,1,1,8,1,0,4,1,0
174,Estrela do Norte,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Euclides da Cunha Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Fartura,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Fernandópolis,0,0,0,0,0,0,0,1,0,0,0,0,0
178,Fernando Prestes,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Fernão,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Ferraz de Vasconcelos,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Flora Rica,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Floreal,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Flórida Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Florínia,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Franca,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Francisco Morato,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Franco da Rocha,1,0,0,0,0,0,0,0,0,0,0,0,0
188,Gabriel Monteiro,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Gália,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Garça,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Gastão Vidigal,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Gavião Peixoto,0,0,0,0,0,0,0,0,0,0,0,0,0
193,General Salgado,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Getulina,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Glicério,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Guaiçara,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Guaimbê,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Guaíra,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Guapiaçu,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Guapiara,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Guará,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Guaraçaí,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Guaraci,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Guarani d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Guarantã,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Guararapes,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Guararema,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Guaratinguetá,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Guareí,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Guariba,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Guarujá,2,1,1,0,0,1,2,1,5,1,1,1,0
212,Guarulhos,1,1,0,1,1,0,0,1,0,0,0,0,0
213,Guatapará,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Guzolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
