,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
392,Ouro Verde,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Pacaembu,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Palestina,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Palmares Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Palmeira d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Palmital,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Panorama,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Paraguaçu Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
400,Paraibuna,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Paranapanema,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Paranapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Parapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Pardinho,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Pariquera-Açu,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Parisi,0,0,0,0,0,0,0,0,0,0,0,0,0
408,Patrocínio Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
409,Paulicéia,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Paulínia,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Paulistânia,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Paulo de Faria,0,0,0,0,0,0,0,0,0,0,0,0,0
413,Pederneiras,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Pedra Bela,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Pedranópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Pedregulho,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Pedreira,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Pedrinhas Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Pedro de Toledo,0,0,0,0,0,0,0,0,0,0,0,0,0
420,Penápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Pereira Barreto,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Pereiras,0,0,0,0,0,0,0,0,0,0,0,0,0
423,Peruíbe,0,0,0,0,0,0,1,0,1,0,0,0,0
424,Piacatu,0,0,0,0,0,0,0,0,0,0,0,0,0
425,Piedade,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Pilar do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Pindamonhangaba,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Pindorama,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Pinhalzinho,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Piquerobi,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Piquete,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Piracaia,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Piracicaba,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Piraju,0,0,0,1,0,0,0,0,0,0,0,0,0
435,Pirajuí,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Pirangi,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Pirapora do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Pirapozinho,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Pirassununga,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Piratininga,0,0,0,0,0,0,0,1,0,0,0,0,0
441,Pitangueiras,0,0,0,0,0,0,0,0,0,0,0,0,0
442,Planalto,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Platina,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Poá,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Poloni,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Pompéia,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Pongaí,0,0,0,0,0,0,0,0,0,0,0,0,0
448,Pontal,0,0,0,0,2,0,0,0,1,2,1,0,0
449,Pontalinda,0,0,0,0,0,0,0,0,0,0,0,0,0
450,Pontes Gestal,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Populina,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Porangaba,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Porto Feliz,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Porto Ferreira,0,0,0,0,0,0,0,0,0,1,0,0,0
455,Potim,0,0,0,0,0,0,0,0,0,1,0,0,0
456,Potirendaba,0,1,0,0,0,0,0,0,0,0,0,0,0
457,Pracinha,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Pradópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Praia Grande,0,0,0,1,0,1,1,0,0,0,0,0,0
460,Pratânia,0,0,0,0,0,0,0,0,0,0,0,0,0
461,Presidente Alves,0,0,0,0,0,0,0,0,0,0,0,0,0
462,Presidente Bernardes,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Presidente Epitácio,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Presidente Venceslau,0,0,0,0,0,0,0,0,0,0,0,0,0
466,Promissão,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Quadra,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Quatá,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Queiroz,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Queluz,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Quintana,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Rafard,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Rancharia,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Redenção da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Regente Feijó,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Reginópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Registro,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Restinga,0,0,0,0,0,0,0,0,0,0,0,0,0
479,Ribeira,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Ribeirão Bonito,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Ribeirão Branco,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Ribeirão Corrente,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Ribeirão do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Ribeirão dos Índios,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Ribeirão Grande,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Ribeirão Pires,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Ribeirão Preto,0,0,0,0,0,0,0,1,2,2,0,0,0
488,Riversul,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Rifaina,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Rincão,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Rinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Rio Claro,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Rio das Pedras,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Rio Grande da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Riolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Rosana,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Roseira,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Rubiácea,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Rubinéia,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Sabino,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Sagres,0,0,0,0,0,0,0,0,0,0,0,0,0
502,Sales,0,0,0,0,0,0,0,0,0,0,0,0,0
503,Sales Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0
504,Salesópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
505,Salmourão,0,0,0,0,0,0,0,0,0,0,0,0,0
506,Saltinho,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Salto,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Salto de Pirapora,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Salto Grande,0,0,0,0,0,0,0,0,0,0,0,0,0
510,Sandovalina,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Santa Adélia,0,0,0,0,0,0,0,0,0,0,0,0,0
512,Santa Albertina,0,0,0,0,0,0,0,0,0,0,0,0,0
513,Santa Bárbara d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Santa Branca,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Santa Clara d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
516,Santa Cruz da Conceição,0,0,0,0,0,0,0,0,0,0,0,0,0
517,Santa Cruz da Esperança,0,0,0,0,0,0,0,0,0,0,0,0,0
518,Santa Cruz das Palmeiras,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Santa Cruz do Rio Pardo,0,0,0,0,0,0,0,0,0,0,0,0,0
520,Santa Ernestina,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Santa Fé do Sul,0,0,0,0,0,0,2,0,0,0,0,0,0
522,Santa Gertrudes,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Santa Isabel,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Santa Lúcia,0,0,0,0,0,0,0,0,0,0,0,0,0
525,Santa Maria da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
526,Santa Mercedes,0,0,0,0,0,0,0,0,0,0,0,0,0
527,Santana da Ponte Pensa,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Santana de Parnaíba,0,0,0,0,0,0,0,0,0,0,0,0,0
529,Santa Rita d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Santa Rita do Passa Quatro,0,0,0,0,0,0,0,0,0,0,0,0,0
531,Santa Rosa de Viterbo,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Santa Salete,0,0,0,0,0,0,0,0,0,0,0,0,0
533,Santo Anastácio,0,0,0,0,0,0,0,0,0,0,0,0,0
534,Santo André,0,0,0,0,0,0,0,0,0,1,0,0,0
535,Santo Antônio da Alegria,0,0,0,0,0,0,0,0,0,0,0,0,0
536,Santo Antônio de Posse,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Santo Antônio do Aracanguá,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Santo Antônio do Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0
539,Santo Antônio do Pinhal,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Santo Expedito,0,0,0,0,0,0,0,0,0,0,0,0,0
541,Santópolis do Aguapeí,0,0,0,0,0,1,0,0,0,1,2,0,0
542,Santos,3,3,0,0,0,1,3,0,0,0,1,2,0
543,São Bento do Sapucaí,0,0,0,0,0,0,0,0,0,0,0,0,0
544,São Bernardo do Campo,0,0,0,0,0,0,0,0,0,1,0,0,0
545,São Caetano do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
546,São Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0
547,São Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
548,São João da Boa Vista,0,0,0,0,0,0,0,0,0,0,0,0,0
549,São João das Duas Pontes,0,0,0,0,0,0,0,0,0,0,0,0,0
550,São João de Iracema,0,0,0,0,0,0,0,0,0,0,0,0,0
551,São João do Pau d'Alho,0,0,0,0,0,0,0,0,0,0,0,0,0
552,São Joaquim da Barra,0,0,0,0,0,0,0,0,0,0,0,0,0
553,São José da Bela Vista,0,0,0,0,0,0,0,0,0,0,0,0,0
554,São José do Barreiro,0,0,0,0,0,0,0,0,0,0,0,0,0
555,São José do Rio Pardo,0,0,0,0,0,0,0,0,0,0,0,0,0
556,São José do Rio Preto,0,0,0,0,0,0,0,0,0,0,0,0,0
557,São José dos Campos,0,0,1,1,0,1,0,0,0,0,0,0,0
558,São Lourenço da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
559,São Luís do Paraitinga,0,0,0,0,0,0,0,0,0,0,0,0,0
560,São Manuel,0,0,0,0,0,0,0,0,0,0,0,0,0
561,São Miguel Arcanjo,0,0,0,0,0,0,0,0,0,0,0,0,0
562,São Paulo,1,0,0,0,0,1,2,2,6,1,4,1,1
563,São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0
564,São Pedro do Turvo,0,0,0,0,0,0,0,0,0,0,0,0,0
565,São Roque,0,0,0,0,0,0,0,0,0,0,0,0,0
566,São Sebastião,0,0,0,0,0,0,0,0,0,0,0,0,0
567,São Sebastião da Grama,0,0,0,0,0,0,0,0,0,0,0,0,0
568,São Simão,0,0,0,0,0,0,0,0,0,0,0,0,0
569,São Vicente,1,2,4,1,2,2,2,2,0,1,3,0,0
570,Sarapuí,0,0,0,0,0,0,0,0,0,0,0,0,0
571,Sarutaiá,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Sebastianópolis do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Serra Azul,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Serrana,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Serra Negra,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Sertãozinho,0,1,0,0,0,0,1,1,1,0,0,1,0
577,Sete Barras,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Severínia,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Silveiras,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Socorro,0,0,0,0,0,0,0,0,0,0,0,0,0
581,Sorocaba,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Sud Mennucci,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Sumaré,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Suzano,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Suzanápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Tabapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
587,Tabatinga,0,0,0,0,0,0,0,0,0,0,0,0,0
588,Taboão da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Taciba,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Taguaí,0,0,0,0,0,0,0,0,0,0,0,0,0
591,Taiaçu,0,0,0,0,0,0,0,0,0,0,0,0,0
592,Taiúva,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Tambaú,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Tanabi,0,0,0,0,0,0,0,0,0,0,0,0,0
595,Tapiraí,0,0,0,0,0,0,0,0,0,0,0,0,0
596,Tapiratiba,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Taquaral,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Taquaritinga,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Taquarituba,0,0,0,0,0,0,0,0,0,0,0,0,0
600,Taquarivaí,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Tarabaí,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Tarumã,0,0,0,0,0,0,0,0,0,0,0,0,0
603,Tatuí,0,0,0,0,0,0,0,0,0,0,0,0,0
604,Taubaté,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Tejupá,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Teodoro Sampaio,0,0,0,0,0,0,0,0,0,0,0,0,0
607,Terra Roxa,0,0,0,0,0,0,0,0,0,0,0,0,0
608,Tietê,0,0,0,0,0,0,0,0,0,0,0,0,0
609,Timburi,0,0,0,0,0,0,0,0,0,0,0,0,0
610,Torre de Pedra,0,0,0,0,0,0,0,0,0,0,0,0,0
611,Torrinha,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Trabiju,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Tremembé,0,0,0,0,0,0,0,0,0,0,0,0,0
614,Três Fronteiras,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Tuiuti,0,0,0,0,0,0,0,0,0,0,0,0,0
616,Tupã,0,0,0,0,0,0,0,0,0,0,0,0,0
617,Tupi Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
618,Turiúba,0,0,0,0,0,0,0,0,0,0,0,0,0
619,Turmalina,0,0,0,0,0,0,0,0,0,0,0,0,0
620,Ubarana,0,0,0,0,0,0,0,0,0,0,0,0,0
621,Ubatuba,0,0,0,0,0,0,0,0,1,0,0,0,0
622,Ubirajara,0,0,0,0,0,0,0,0,0,0,0,0,0
623,Uchoa,0,0,0,0,0,0,0,0,0,0,0,0,0
624,União Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
625,Urânia,0,0,0,0,0,0,0,0,0,0,0,0,0
626,Uru,0,0,0,0,0,0,0,0,0,0,0,0,0
627,Urupês,0,0,0,0,0,0,0,0,0,0,0,0,0
628,Valentim Gentil,0,0,0,0,0,0,0,0,0,0,0,0,0
629,Valinhos,0,0,0,0,0,0,0,0,0,0,0,0,0
630,Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0,0
631,Vargem,0,0,0,0,0,0,0,0,0,0,0,0,0
632,Vargem Grande do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
633,Vargem Grande Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
634,Várzea Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
635,Vera Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0
636,Vinhedo,0,0,0,0,0,0,0,0,0,0,0,0,0
637,Viradouro,0,0,0,0,0,0,0,0,0,0,0,0,0
638,Vista Alegre do Alto,0,0,0,0,0,0,0,0,0,0,0,0,0
639,Vitória Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0
640,Votorantim,0,0,0,0,0,0,0,0,0,0,0,0,0
641,Votuporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
642,Zacarias,0,0,0,0,0,0,0,0,0,0,0,0,0
643,Chavantes,0,0,0,0,0,0,0,0,0,0,0,0,0
644,Estiva Gerbi,0,0,0,0,0,0,0,0,0,0,0,0,0
